A	bin	ab		a	Ca
164	10100100	{0, 1, 1}	{3, 1}	0 3 1 
165	10100101	{0, 1, 1}	{4, 1}	0 4 1 
166	10100110	{0, 1, 1}	{5, 1}	0 5 1 
167	10100111	{0, 1, 1}	{6, 1}	0 6 1 
168	10101000	{0, 1, 1}	{7, 1}	0 7 1 
169	10101001	{0, 1, 1}	{8, 1}	0 8 1 
170	10101010	{0, 1, 1}	{9, 1}	0 9 1 
171	10101011	{0, 1, 1}	{1, 2}	0 1 2 
172	10101100	{0, 1, 1}	{2, 2}	0 2 2 
173	10101101	{0, 1, 1}	{3, 2}	0 3 2 
174	10101110	{0, 1, 1}	{4, 2}	0 4 2 
175	10101111	{0, 1, 1}	{5, 2}	0 5 2 
176	10110000	{0, 1, 1}	{6, 2}	0 6 2 
177	10110001	{0, 1, 1}	{7, 2}	0 7 2 
178	10110010	{0, 1, 1}	{8, 2}	0 8 2 
179	10110011	{0, 1, 1}	{9, 2}	0 9 2 
180	10110100	{0, 1, 1}	{1, 3}	0 1 3 
181	10110101	{0, 1, 1}	{2, 3}	0 2 3 
182	10110110	{0, 1, 1}	{3, 3}	0 3 3 
183	10110111	{0, 1, 1}	{4, 3}	0 4 3 
184	10111000	{0, 1, 1}	{5, 3}	0 5 3 
185	10111001	{0, 1, 1}	{6, 3}	0 6 3 
186	10111010	{0, 1, 1}	{7, 3}	0 7 3 
187	10111011	{0, 1, 1}	{8, 3}	0 8 3 
188	10111100	{0, 1, 1}	{9, 3}	0 9 3 
189	10111101	{0, 1, 1}	{1, 4}	0 1 4 
190	10111110	{0, 1, 1}	{2, 4}	0 2 4 
191	10111111	{0, 1, 1}	{3, 4}	0 3 4 
192	11000000	{0, 1, 1}	{4, 4}	0 4 4 
193	11000001	{0, 1, 1}	{5, 4}	0 5 4 
194	11000010	{0, 1, 1}	{6, 4}	0 6 4 
195	11000011	{0, 1, 1}	{7, 4}	0 7 4 
196	11000100	{0, 1, 1}	{8, 4}	0 8 4 
197	11000101	{0, 1, 1}	{9, 4}	0 9 4 
198	11000110	{0, 1, 1}	{1, 5}	0 1 5 
199	11000111	{0, 1, 1}	{2, 5}	0 2 5 
200	11001000	{0, 1, 1}	{3, 5}	0 3 5 
201	11001001	{0, 1, 1}	{4, 5}	0 4 5 
202	11001010	{0, 1, 1}	{5, 5}	0 5 5 
203	11001011	{0, 1, 1}	{6, 5}	0 6 5 
204	11001100	{0, 1, 1}	{7, 5}	0 7 5 
205	11001101	{0, 1, 1}	{8, 5}	0 8 5 
206	11001110	{0, 1, 1}	{9, 5}	0 9 5 
207	11001111	{0, 1, 1}	{1, 6}	0 1 6 
208	11010000	{0, 1, 1}	{2, 6}	0 2 6 
209	11010001	{0, 1, 1}	{3, 6}	0 3 6 
210	11010010	{0, 1, 1}	{4, 6}	0 4 6 
211	11010011	{0, 1, 1}	{5, 6}	0 5 6 
212	11010100	{0, 1, 1}	{6, 6}	0 6 6 
213	11010101	{0, 1, 1}	{7, 6}	0 7 6 
214	11010110	{0, 1, 1}	{8, 6}	0 8 6 
215	11010111	{0, 1, 1}	{9, 6}	0 9 6 
216	11011000	{0, 1, 1}	{1, 7}	0 1 7 
217	11011001	{0, 1, 1}	{2, 7}	0 2 7 
218	11011010	{0, 1, 1}	{3, 7}	0 3 7 
219	11011011	{0, 1, 1}	{4, 7}	0 4 7 
220	11011100	{0, 1, 1}	{5, 7}	0 5 7 
221	11011101	{0, 1, 1}	{6, 7}	0 6 7 
222	11011110	{0, 1, 1}	{7, 7}	0 7 7 
223	11011111	{0, 1, 1}	{8, 7}	0 8 7 
224	11100000	{0, 1, 1}	{9, 7}	0 9 7 
225	11100001	{0, 1, 1}	{1, 8}	0 1 8 
226	11100010	{0, 1, 1}	{2, 8}	0 2 8 
227	11100011	{0, 1, 1}	{3, 8}	0 3 8 
228	11100100	{0, 1, 1}	{4, 8}	0 4 8 
229	11100101	{0, 1, 1}	{5, 8}	0 5 8 
230	11100110	{0, 1, 1}	{6, 8}	0 6 8 
231	11100111	{0, 1, 1}	{7, 8}	0 7 8 
232	11101000	{0, 1, 1}	{8, 8}	0 8 8 
233	11101001	{0, 1, 1}	{9, 8}	0 9 8 
234	11101010	{0, 1, 1}	{1, 9}	0 1 9 
235	11101011	{0, 1, 1}	{2, 9}	0 2 9 
236	11101100	{0, 1, 1}	{3, 9}	0 3 9 
237	11101101	{0, 1, 1}	{4, 9}	0 4 9 
238	11101110	{0, 1, 1}	{5, 9}	0 5 9 
239	11101111	{0, 1, 1}	{6, 9}	0 6 9 
240	11110000	{0, 1, 1}	{7, 9}	0 7 9 
241	11110001	{0, 1, 1}	{8, 9}	0 8 9 
242	11110010	{0, 1, 1}	{9, 9}	0 9 9 

no	bin	L	poly	
0:	000	L-1	
1:	001	L0	1
2:	010	L1	x
3:	100	L2	x2
4:	011	L3	x + 1
5:	110	L4	x2 + x
6:	111	L5	x2 + x + 1
7:	101	L6	x2 + 1

+
  	0.	1.	2.	3.	4.	5.	6.	7.	
0|	0	1	2	3	4	5	6	7	
1|	1	0	4	7	2	6	5	3	
2|	2	4	0	5	1	3	7	6	
3|	3	7	5	0	6	2	4	1	
4|	4	2	1	6	0	7	3	5	
5|	5	6	3	2	7	0	1	4	
6|	6	5	7	4	3	1	0	2	
7|	7	3	6	1	5	4	2	0	

*
   	0.	1.	2.	3.	4.	5.	6.	7.	
0|	0	0	0	0	0	0	0	0	
1|	0	1	2	3	4	5	6	7	
2|	0	2	3	4	5	6	7	1	
3|	0	3	4	5	6	7	1	2	
4|	0	4	5	6	7	1	2	3	
5|	0	5	6	7	1	2	3	4	
6|	0	6	7	1	2	3	4	5	
7|	0	7	1	2	3	4	5	6	

/
	0.	1.	2.	3.	4.	5.	6.	7.	
0|	0	0	0	0	0	0	0	0	
1|	0	1	7	6	5	4	3	2	
2|	0	2	1	7	6	5	4	3	
3|	0	3	2	1	7	6	5	4	
4|	0	4	3	2	1	7	6	5	
5|	0	5	4	3	2	1	7	6	
6|	0	6	5	4	3	2	1	7	
7|	0	7	6	5	4	3	2	1	
